epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,2485.13,1.16528,0.87239,1.3017,0.36046,0.44281,0.37506,0.17178,2.08438,2.06144,2.19236,0.000356178,0.000356178,0.000356178
93,2512.02,1.15822,0.8689,1.30162,0.36728,0.42163,0.37973,0.16993,2.09832,2.24751,2.19744,0.000344389,0.000344389,0.000344389
94,2538.77,1.15071,0.87889,1.30323,0.37041,0.41875,0.36394,0.1627,2.11578,2.18909,2.20429,0.0003326,0.0003326,0.0003326
95,2564.78,1.14337,0.8573,1.29066,0.32242,0.40947,0.36022,0.16163,2.14497,2.22106,2.23824,0.00032081,0.00032081,0.00032081
96,2591.36,1.10976,0.83551,1.28554,0.37165,0.38004,0.33776,0.15313,2.09815,2.21467,2.17498,0.000309021,0.000309021,0.000309021
97,2617.91,1.11833,0.82822,1.27242,0.35866,0.4559,0.33515,0.15054,2.1234,2.20925,2.16943,0.000297232,0.000297232,0.000297232
98,2644.28,1.07599,0.81741,1.25471,0.37619,0.43212,0.37469,0.17475,2.12276,2.11172,2.21608,0.000285443,0.000285443,0.000285443
99,2671.67,1.09306,0.80537,1.26622,0.39349,0.37569,0.34542,0.16066,2.14685,2.30721,2.24114,0.000273654,0.000273654,0.000273654
100,2698.4,1.08499,0.82672,1.25815,0.28232,0.49219,0.3617,0.16272,2.11885,2.26191,2.2114,0.000261864,0.000261864,0.000261864
101,2725.72,1.09587,0.8156,1.25139,0.37878,0.44076,0.34364,0.15557,2.09777,2.25746,2.21834,0.000250075,0.000250075,0.000250075
102,2752.52,1.07394,0.82006,1.26257,0.38309,0.36331,0.35761,0.16293,2.12137,2.2953,2.2306,0.000238286,0.000238286,0.000238286
103,2778.82,1.04803,0.79518,1.24014,0.39735,0.3908,0.37049,0.17476,2.13299,2.14197,2.23137,0.000226497,0.000226497,0.000226497
104,2805.15,1.0479,0.75724,1.21993,0.35569,0.42283,0.37195,0.16919,2.13204,2.1849,2.22659,0.000214707,0.000214707,0.000214707
105,2832.55,1.04266,0.77037,1.23394,0.35261,0.39328,0.36756,0.16707,2.14529,2.15954,2.2474,0.000202918,0.000202918,0.000202918
106,2858.82,1.0141,0.74202,1.21151,0.35163,0.43923,0.36479,0.16272,2.14591,2.27119,2.27875,0.000191129,0.000191129,0.000191129
107,2886.61,1.04747,0.75406,1.22725,0.34008,0.424,0.32891,0.14812,2.14983,2.35524,2.29859,0.00017934,0.00017934,0.00017934
108,2912.39,1.0278,0.75046,1.21552,0.31739,0.46291,0.35518,0.1601,2.12509,2.38035,2.30565,0.00016755,0.00016755,0.00016755
109,2939.84,1.00024,0.73035,1.188,0.36855,0.40034,0.3502,0.15796,2.14313,2.35304,2.28035,0.000155761,0.000155761,0.000155761
110,2965.72,0.9791,0.71131,1.18867,0.30827,0.47011,0.35016,0.15798,2.17937,2.43915,2.31699,0.000143972,0.000143972,0.000143972
111,2995.93,1.09266,0.77677,1.26111,0.33342,0.40933,0.32314,0.14128,2.159,2.4221,2.34737,0.000132183,0.000132183,0.000132183
112,3022.02,1.01599,0.70157,1.21431,0.36321,0.3791,0.33533,0.14834,2.11444,2.35643,2.27772,0.000120393,0.000120393,0.000120393
113,3047.9,0.99579,0.65783,1.20001,0.33753,0.43521,0.33935,0.14977,2.12619,2.30275,2.25694,0.000108604,0.000108604,0.000108604
114,3072.68,0.96257,0.63323,1.1837,0.294,0.49897,0.33156,0.14356,2.14799,2.29812,2.28343,9.68148e-05,9.68148e-05,9.68148e-05
115,3099.02,0.93645,0.6165,1.173,0.2794,0.46826,0.33668,0.1521,2.15815,2.326,2.30768,8.50255e-05,8.50255e-05,8.50255e-05
116,3123.29,0.9068,0.59905,1.16637,0.39464,0.32856,0.34616,0.15571,2.13497,2.29126,2.29844,7.32362e-05,7.32362e-05,7.32362e-05
117,3149.85,0.9273,0.60757,1.16471,0.33584,0.40558,0.35254,0.16366,2.12866,2.2764,2.29403,6.1447e-05,6.1447e-05,6.1447e-05
118,3175.1,0.9099,0.58243,1.14688,0.33655,0.38781,0.34909,0.16062,2.13434,2.34865,2.30562,4.96578e-05,4.96578e-05,4.96578e-05
119,3199.89,0.88267,0.55479,1.12647,0.38429,0.34793,0.34843,0.16044,2.12725,2.34648,2.30684,3.78685e-05,3.78685e-05,3.78685e-05
120,3226.94,0.89775,0.5759,1.13886,0.35867,0.36879,0.3443,0.15915,2.11418,2.35639,2.30109,2.60792e-05,2.60792e-05,2.60792e-05
